date,temperature_mean,temperature_max,humidity_mean,humidity_max,dew_point_mean,dew_point_max,precipitation_sum,rain_sum,cloud_cover_sum,wind_speed_10m_mean,wind_speed_10m_max,wind_speed_100m_mean,wind_speed_100m_max
2010-01-01 00:00:00+00:00,13.444083475,21.3545,68.23304116666667,94.61,7.0878335083333335,8.6545,0.0,0.0,186.60000584,6.176134220833333,10.739833,9.214705350000001,13.084402
2010-01-02 00:00:00+00:00,13.110750233333334,20.0545,73.23494183333334,95.252625,7.912833475,9.6545,0.0,0.0,628.5000094000001,4.262879929166666,9.746631,6.344983608333333,14.404499
2010-01-03 00:00:00+00:00,12.648250250000002,17.8545,83.02887445833333,99.66349,9.573250166666666,10.7545,2.7,2.7,1064.400027,5.640610770833334,9.028754,10.085813295833333,15.646544
2010-01-04 00:00:00+00:00,11.796166958333332,17.6045,79.69293854166666,98.99187,8.033666775,9.7045,0.0,0.0,568.799998,10.020372845833334,14.372974,18.914314916666665,25.922499
2010-01-05 00:00:00+00:00,12.369083404166666,19.3045,77.69445879166666,98.97858,8.125333595833334,9.1045,0.0,0.0,150.299999,7.009391758333333,9.6932955,11.216501154166666,19.386593
2010-01-06 00:00:00+00:00,10.904500220833334,18.0045,86.90360325,100.0,8.55241685,11.2045,0.0,0.0,1032.30001,4.933629840416667,8.707237,5.96496285,10.182337
2010-01-07 00:00:00+00:00,10.071166945833333,16.7045,87.66308816666667,100.0,7.887833629166667,10.2045,0.0,0.0,818.999997,4.270794602916666,8.217153,7.427818765833333,17.673029
2010-01-08 00:00:00+00:00,10.4170000875,17.2045,88.47898058333334,100.0,8.442000175,10.9045,0.0,0.0,668.7,6.312050625,8.825508,12.0230866875,19.721298
2010-01-09 00:00:00+00:00,11.773250166666665,19.3545,79.27782058333334,98.963394,7.935750116666667,9.9045,0.0,0.0,486.899995,7.050760420833334,9.007196,12.948249645833334,20.774214
2010-01-10 00:00:00+00:00,12.064916850000001,19.654501,75.082047375,95.9232,7.333666733333334,9.304501,0.0,0.0,95.3999976,7.050286691666667,9.028754,11.173782366666666,15.281989
2010-01-11 00:00:00+00:00,11.639916795833335,19.2545,67.90326616666667,93.63343,5.360750108333334,7.2045,0.0,0.0,312.29999214,6.871454604166666,10.483357,12.184483491666667,18.888851
2010-01-12 00:00:00+00:00,10.792000066666667,16.2045,78.80737675,94.53116,6.967000208333334,8.7045,1.5,1.5,1332.300036,5.466566270833333,9.0645685,10.736717337500002,20.883104
2010-01-13 00:00:00+00:00,11.467000212499999,16.8545,80.43156191666667,98.97287,7.8503336375,9.7545,0.7000000000000001,0.7000000000000001,816.1000233999999,5.742327200000001,8.905908,8.559486391666667,21.09305
2010-01-14 00:00:00+00:00,12.144083616666668,18.5545,77.36764933333333,99.31829,7.9024168375,10.554501,0.0,0.0,1003.800016,7.780739954166667,10.514218,16.297149591666667,24.967497
2010-01-15 00:00:00+00:00,12.394083529166666,20.0045,73.99507304166667,93.992165,7.3690833625,9.4545,0.0,0.0,10.200001,8.252339091666666,9.726665,13.3251119375,20.390114
2010-01-16 00:00:00+00:00,12.881583587500002,20.8045,74.56289129166667,95.63669,7.977416804166666,10.1045,0.0,0.0,400.200014,8.24873125,10.799999,14.020529375,19.245697
2010-01-17 00:00:00+00:00,12.423250141666665,19.4545,82.13496520833333,100.0,9.073250137499999,11.2045,0.0,0.0,703.3999923,5.212157295833333,7.5685663,6.2608047125,10.182337
2010-01-18 00:00:00+00:00,11.5690835,18.0545,88.86687666666667,99.660675,9.617000075,12.4545,0.0,0.0,850.499994,5.3957913,8.4042845,9.7607693375,18.0
2010-01-19 00:00:00+00:00,11.760750179166665,18.0545,91.42414791666666,99.66481,10.281583404166666,12.9545,0.0,0.0,1237.9000084,6.173408604166667,9.107359,11.524627204166668,17.373497
2010-01-20 00:00:00+00:00,12.114916791666666,19.1045,89.74416816666667,100.0,10.273250291666667,12.554501,0.0,0.0,1265.800006,5.808686270833333,8.707237,8.5752934625,12.074766
2010-01-21 00:00:00+00:00,12.244083625,19.3045,88.20827870833334,99.32397,10.1628335125,12.9045,0.0,0.0,1023.100008,6.026317962499999,10.365251,9.170584279166667,16.563911
2010-01-22 00:00:00+00:00,12.733666962500001,19.5545,86.51138520833332,100.0,10.300333533333333,12.554501,0.0,0.0,1422.400018,2.7231415695833334,5.692099,3.9789827575000003,13.0447235
2010-01-23 00:00:00+00:00,12.735750075,19.6045,89.96937162500001,99.332726,10.977416750000001,14.1045,0.0,0.0,1421.600009,3.9570515575,8.473393,6.035327345833333,12.979984
2010-01-24 00:00:00+00:00,12.610750279166666,19.2045,89.91513350000001,99.661736,10.831583429166665,13.6045,0.0,0.0,1167.3000013,2.7187028283333334,7.928177,3.1183365779166667,9.387651
2010-01-25 00:00:00+00:00,13.644083458333334,20.5045,88.78348508333333,100.0,11.66075025,14.6045,0.0,0.0,720.5999957,5.385380887499999,10.464797,8.793918404166666,19.995398
2010-01-26 00:00:00+00:00,14.250333416666669,21.7045,85.22500245833334,99.66481,11.4753335,13.804501,0.0,0.0,1157.700015,4.24418081125,7.9932966,6.4818189125,10.383987
2010-01-27 00:00:00+00:00,14.860750083333334,22.1045,80.70532229166666,99.66467,11.0815835,13.9045,0.0,0.0,693.3000041,4.954950519583334,8.311245,6.364379907083333,12.9249525
2010-01-28 00:00:00+00:00,16.196167,23.2045,73.91342412499999,96.03033,11.054500083333332,12.6045,0.0,0.0,498.300017,8.231695908333334,11.792404,16.042832270833333,26.339111
