date,temperature_mean,temperature_max,humidity_mean,humidity_max,dew_point_mean,dew_point_max,precipitation_sum,rain_sum,cloud_cover_sum,wind_speed_10m_mean,wind_speed_10m_max,wind_speed_100m_mean,wind_speed_100m_max
2012-05-08 00:00:00+00:00,32.545582833333334,39.705997,46.639472125,90.37496,16.931000083333334,24.356,0.0,0.0,130.2000011,7.958153208333333,12.88981,13.990942474999999,25.212852
2012-05-09 00:00:00+00:00,31.158083083333334,38.556,59.22198633333334,92.54215,21.014333333333333,24.356,1.7999999999999998,1.7999999999999998,317.4000105,7.342544366666666,12.24,11.528868879166666,17.935081
2012-05-10 00:00:00+00:00,31.785165916666667,37.455997,53.040507875,87.378105,20.09975,23.106,0.1,0.1,170.4000034,6.759164129166667,11.212135,11.586464300000001,20.523157
2012-05-11 00:00:00+00:00,31.6122495,38.356,53.58347441666666,76.97797,20.17475,21.956,1.1,1.1,153.00000524,9.006838254166667,11.720751,15.419934499999998,21.868332
2012-05-12 00:00:00+00:00,32.58933258333334,39.505997,49.521305041666665,70.40029,19.7435,21.806,0.0,0.0,211.8000046,7.869327670833333,14.458382,14.762730258333335,25.764534
2012-05-13 00:00:00+00:00,34.02058258333333,40.306,34.68753983333333,64.63181,15.376833395833332,20.356,0.0,0.0,153.3000037,7.502783050000001,10.799999,12.491148595833332,20.771093
2012-05-14 00:00:00+00:00,34.60183270833333,41.056,30.253983291666668,47.85766,13.620583395833334,16.706,0.0,0.0,145.20000648,8.6903021375,13.104198,16.18107829166667,25.620771
2012-05-15 00:00:00+00:00,34.2622495,40.205997,32.06272679166667,50.200344,14.170583395833333,17.756,0.0,0.0,340.8000113,7.916335741666667,11.525623,14.470703308333334,23.110205
2012-05-16 00:00:00+00:00,33.262249375,40.856,25.207896479166667,45.436604,8.995583475,15.2560005,0.0,0.0,11.400000200000001,9.22177555,15.782622,12.947184416666666,21.38897
2012-05-17 00:00:00+00:00,34.57891579166667,42.705997,25.124475416666666,58.21525,9.239333466666666,16.556,0.0,0.0,57.0000006,10.469329108333334,17.884428,16.603778958333333,24.014996
2012-05-18 00:00:00+00:00,32.64766641666667,40.606,50.46633820833333,83.11912,19.510166666666667,23.456,0.8,0.8,191.4000074,6.416057661666667,10.97262,10.594332002916667,16.75064
